Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
2430,1.5407736,-1.119999997317791,10.0,0.20311685,-1.1199999749660492
2440,1.5201777,None,None,0.18132855,None
2450,1.6094339,None,None,0.20323841,None
2460,1.5648067,None,None,0.19424386,None
2470,1.4309196,None,None,0.21380797,None
2480,1.6094326,0.7650000052526593,19.0,0.21378684,0.7650000229477882
2490,1.5871179,None,None,0.1828618,None
2500,1.5424887,None,None,0.18524453,None
2510,1.587117,None,None,0.16723597,None
2520,1.5722437,0.6500000078231096,28.0,0.18444602,0.6500000208616257
2530,1.3862925,None,None,0.19647145,None
2540,1.497864,None,None,0.17449476,None
2550,1.49786,-1.2999999932944775,24.0,0.20159322,-1.2999999821186066
2560,1.5648028,None,None,0.21039537,None
2570,1.6094286,None,None,0.20810227,None
2580,1.5871158,None,None,0.21717839,None
2590,1.6094258,-1.4899999890476465,40.0,0.2167922,None
2600,1.5080043,None,None,0.18832198,-1.4899999350309372
2610,1.5536449,0.8300000037997961,14.0,0.18605691,None
2620,1.5485779,None,None,0.18762162,0.830000028014183
2630,1.6094353,None,None,0.19137202,None
2640,1.6094334,None,None,0.20672134,None
2650,1.386294,None,None,0.2087084,None
2660,1.4674332,0.5600000098347664,36.0,0.2038449,0.5600000023841858
2670,1.497861,None,None,0.22511674,None
2680,1.4755471,None,None,0.21401131,None
2690,1.4309189,None,None,0.20427153,None
2700,1.4755472,None,None,0.21686539,None
2710,1.609431,0.5200000107288361,39.0,0.20939058,0.5200000554323196
2720,1.6094258,None,None,0.1726673,None
2730,1.4309115,None,None,0.19028482,None
2740,1.4532269,None,None,0.18951322,None
2750,1.4085968,0.5600000098347664,36.0,0.20306201,None
2760,1.5201703,0.9300000015646219,6.0,0.19497253,0.7450000122189522
2770,1.5871162,None,None,0.22149509,None
2780,1.5871158,None,None,0.22442926,None
2790,1.4978613,None,None,0.2178608,None
2800,1.4755466,None,None,0.21893199,None
2810,1.5871148,None,None,0.22487593,None
2820,1.6094322,None,None,0.22597298,None
2830,1.5871179,None,None,0.22745544,None
2840,1.6094317,0.1700000185519457,67.0,0.23279133,None
2850,1.4065725,None,None,0.23534676,0.1700000762939453
2860,1.5647992,-1.189999995753169,16.0,0.24853006,None
2870,1.528281,None,None,0.20268276,-1.1899999529123306
2880,1.4532263,None,None,0.19274662,None
2890,1.3862845,None,None,0.18738306,None
2900,1.5579377,0.69000000692904,25.0,0.19333915,0.6900000274181366
2910,1.6094341,None,None,0.19034114,None
2920,1.6094306,None,None,0.18941465,None
2930,1.5424895,-1.3899999912828207,32.0,0.19842112,None
2940,1.4674325,None,None,0.18290746,-1.3899999409914017
2950,1.4309162,None,None,0.18687573,None
2960,1.5871179,None,None,0.21246016,None
2970,1.6094301,None,None,0.2013002,None
2980,1.6094322,0.5300000105053186,38.0,0.21110949,None
2990,1.4877193,None,None,0.20287555,0.5300000458955765
3000,1.4309196,None,None,0.19832185,None
3010,1.5871165,None,None,0.20314914,None
3020,1.564805,None,None,0.19124502,None
3030,1.4532335,None,None,0.19116274,None
3040,1.6094327,-1.5599999874830246,45.0,0.19030507,-1.5599999576807022
3050,1.5424898,None,None,0.18565357,None
3060,1.5648011,None,None,0.18143725,None
3070,1.5722399,0.7000000067055225,24.0,0.17687468,None
3080,1.5201727,0.9300000015646219,6.0,0.1918801,0.815000019967556
3090,1.5137972,-1.1099999975413084,9.0,0.18108335,None
3100,1.548574,None,None,0.2062974,-1.1099999845027924
3110,1.5201738,0.8200000040233135,15.0,0.1797057,0.8200000375509262
3120,1.5424837,None,None,0.22291976,None
3130,1.4978613,None,None,0.20321485,None
3140,1.6094309,None,None,0.20370623,None
3150,1.587117,0.5600000098347664,36.0,0.2028918,None
3160,1.4065722,None,None,0.21032074,0.5600000023841858
3170,1.4792637,0.9350000014528632,5.5,0.22280271,0.935000017285347
3180,1.5201771,None,None,0.21787557,None
3190,1.5424901,None,None,0.21685259,None
3200,1.5871122,None,None,0.20564756,None
3210,1.5424898,None,None,0.19848368,None
3220,1.4532328,None,None,0.20150836,None
3230,1.5201769,None,None,0.1887162,None
3240,1.6094329,None,None,0.21563037,None
3250,1.5201765,None,None,0.2235101,None
3260,1.5648044,None,None,0.20639546,None
3270,1.6094332,1.1175870895385742e-08,40.0,0.21411364,-0.9999999403953552
3280,1.5282855,None,None,0.19248684,1.0
3290,1.4755403,None,None,0.19697724,None
3300,1.4500436,-1.2199999950826168,18.0,0.20921524,-1.2199999690055847
3310,1.4110819,0.8200000040233135,15.0,0.209251,None
3320,1.5485746,None,None,0.2041553,0.8200000375509262
3330,1.6094307,0.9000000022351742,8.0,0.19582522,0.9000000059604645
3340,1.4978601,None,None,0.2171964,None
3350,1.6094319,None,None,0.21186191,None
3360,1.6094307,None,None,0.20683149,None
3370,1.5137924,-1.4599999897181988,37.0,0.21692577,None
3380,1.4377824,1.0,0.0,0.19895202,-0.22999998182058334
3390,1.5891455,0.8600000031292439,12.0,0.1774123,0.8599999845027924
3400,1.5688584,-1.0899999979883432,8.0,0.18084201,-1.089999958872795
3410,1.4755462,None,None,0.17392382,None
3420,1.4659826,-1.169999996200204,14.0,0.16046648,-1.169999971985817
3430,1.6094283,-1.1499999966472387,12.0,0.16410801,None
3440,1.5891446,None,None,0.17576236,-1.1499999910593033
3450,1.5424869,None,None,0.16848803,None
3460,1.5396998,-0.41666666480402154,7.0,0.19117507,-0.4166666467984517
3470,1.5080028,-1.0899999979883432,8.0,0.22690801,-1.089999958872795
3480,1.4086052,None,None,0.1795707,None
3490,1.3862913,None,None,0.14998949,None
3500,1.4532312,None,None,0.17099196,None
3510,1.3862894,0.5900000091642141,33.0,0.19753256,None
3520,1.568863,None,None,0.19841835,0.5900000333786011
3530,1.5499257,0.8700000029057264,11.0,0.2044702,0.870000034570694
3540,1.5201732,None,None,0.22764541,None
3550,1.6094302,0.7500000055879354,20.0,0.21453539,None
3560,1.5688615,None,None,0.19102263,0.7500000149011612
3570,1.5871185,None,None,0.16926038,None
3580,1.4532312,None,None,0.2010375,None
3590,1.6094328,-1.359999991953373,29.0,0.18912153,-1.3599999696016312
3600,1.5871164,0.8600000031292439,12.0,0.17936161,None
3610,1.5616137,-1.0199999995529652,2.0,0.18511657,-0.3933333257834117
3620,1.4420705,-1.0999999977648258,8.0,0.18470104,-1.0999999940395355
3630,1.5775545,0.8900000024586916,9.0,0.20052676,None
3640,1.5536453,0.9600000008940697,4.0,0.18580607,0.9249999970197678
3650,1.5424917,None,None,0.18852487,None
3660,1.4659836,-1.2199999950826168,18.0,0.19759117,-1.2199999690055847
3670,1.5648029,None,None,0.20509368,None
3680,1.6094303,None,None,0.2171602,None
3690,1.6094311,-1.30999999307096,25.0,0.2117859,None
3700,1.4659822,-1.0099999997764826,1.0,0.19588572,-1.1599999815225601
3710,1.60943,None,None,0.19504787,None
3720,1.4819216,-1.2599999941885471,21.0,0.19438198,None
3730,1.6094334,None,None,0.17440146,-1.2599999755620956
3740,1.5871193,None,None,0.14382613,None
3750,1.5201762,None,None,0.15523954,None
3760,1.587115,None,None,0.16225234,None
3770,1.5424849,None,None,0.17067489,None
3780,1.6094344,None,None,0.14943929,None
3790,1.5871189,None,None,0.14772826,None
3800,1.6094303,None,None,0.15706077,None
3810,1.6094297,None,None,0.14857268,None
3820,1.5350494,-1.8999999798834324,72.0,0.17886132,-1.8999999463558197
3830,1.5424883,None,None,0.18114668,None
3840,1.5648004,None,None,0.19257382,None
3850,1.4892744,0.640000008046627,29.0,0.17560916,0.6400000303983688
3860,1.4309151,None,None,0.20768207,None
3870,1.4532309,None,None,0.19834612,None
3880,1.6094278,-0.15499999653548002,12.5,0.16845126,0.7000000178813934
3890,1.528283,None,None,0.17928778,-1.0099999904632568
