Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
344000,-8.027037,0.6893586,-1632.0,1996.0
345000,-7.3368077,0.68281156,None,None
346000,-8.705878,0.6875433,-1768.0,1996.0
347000,-5.8294716,0.67979634,None,None
348000,-8.619903,0.6818728,-1402.0,1996.0
349000,-7.317464,0.68322265,None,None
350000,-7.9613724,0.6889212,-1098.0,1996.0
351000,-6.8869886,0.6920622,None,None
352000,-8.510746,0.6889237,-1630.0,1996.0
353000,-5.201234,0.68417233,None,None
354000,-8.731274,0.692393,-804.0,1996.0
355000,-5.8502626,0.69288707,None,None
356000,-8.6057415,0.6693489,-1868.0,1996.0
357000,-7.5481844,0.6916087,None,None
358000,-6.5436425,0.6768946,-1402.0,1996.0
359000,-6.9337425,0.692049,None,None
360000,-8.755655,0.69113714,-1736.0,1996.0
361000,-8.937181,0.69198364,None,None
362000,-8.289252,0.67281306,-1900.0,1996.0
363000,-8.006209,0.6872001,None,None
364000,-7.172646,0.691428,-1332.0,1996.0
365000,-7.000507,0.68985003,None,None
366000,-9.448395,0.6848805,-1434.0,1996.0
367000,-8.264557,0.6893718,None,None
368000,-7.382347,0.6923604,-1334.0,1996.0
369000,-7.6448545,0.691927,None,None
370000,-6.737361,0.66507494,-1530.0,1996.0
371000,-7.0804358,0.6924154,None,None
372000,-7.0153,0.68155366,-1366.0,1996.0
373000,-7.817876,0.69213146,None,None
374000,-8.420576,0.6889187,-1632.0,1996.0
375000,-8.205226,0.692875,None,None
376000,-6.109559,0.66617185,-1100.0,1996.0
377000,-8.275359,0.6896875,None,None
378000,-8.527733,0.67749715,-1868.0,1996.0
379000,-8.3323145,0.6924154,None,None
380000,-8.081132,0.6903662,-1700.0,1996.0
381000,-8.764027,0.6902057,None,None
382000,-8.578758,0.68467975,-1968.0,1996.0
383000,-8.081976,0.69075817,None,None
384000,-7.394256,0.6891434,-1470.0,1996.0
385000,-7.642065,0.6921944,None,None
386000,-8.600538,0.68583816,-1902.0,1996.0
387000,-7.4879103,0.6848472,None,None
388000,-7.664264,0.6785612,-1536.0,1996.0
389000,-8.275613,0.68840253,None,None
390000,-8.826449,0.67129517,-1934.0,1996.0
391000,-6.8809576,0.6854755,None,None
392000,-7.4083977,0.6905914,-1400.0,1996.0
393000,-8.800428,0.6837334,None,None
394000,-8.84321,0.67296594,-1866.0,1996.0
395000,-8.75131,0.6906924,None,None
396000,-7.7713895,0.69035715,-1336.0,1996.0
397000,-7.9889092,0.6914384,None,None
398000,-9.202305,0.6767255,-1568.0,1996.0
399000,-7.3965416,0.68465275,None,None
400000,-7.7925153,0.6909465,-1064.0,1996.0
401000,-8.428545,0.6887956,None,None
402000,-9.177053,0.6717896,-1866.0,1996.0
403000,-8.498765,0.68802136,None,None
404000,-8.395136,0.6896424,-1370.0,1996.0
405000,-6.363981,0.68914706,None,None
406000,-7.6068,0.6853215,-1732.0,1996.0
407000,-7.9287686,0.68944657,None,None
408000,-7.2917156,0.69110656,-1102.0,1996.0
409000,-6.547532,0.69226587,None,None
410000,-7.639896,0.6771913,-1632.0,1996.0
411000,-8.070032,0.6897492,None,None
412000,-7.4393797,0.68815386,-938.0,1996.0
413000,-5.722246,0.6767928,None,None
414000,-8.634934,0.65857667,-964.0,1996.0
415000,-6.1773834,0.6822825,None,None
416000,-8.959962,0.68534476,-1270.0,1996.0
417000,-5.586492,0.6576565,None,None
418000,-8.240437,0.68055725,-1400.0,1996.0
419000,-7.191045,0.6914099,None,None
420000,-7.6413403,0.6861661,-1268.0,1996.0
421000,-6.89095,0.6905866,None,None
422000,-8.947322,0.6678419,-1368.0,1996.0
423000,-7.465952,0.69209784,None,None
424000,-8.144142,0.68835264,-1602.0,1996.0
425000,-6.7742934,0.6923521,None,None
426000,-8.845097,0.6913631,-1368.0,1996.0
427000,-7.173373,0.69288075,None,None
428000,-8.15343,0.6907269,-1468.0,1996.0
429000,-7.6891694,0.6926055,None,None
430000,-8.08526,0.6925618,-1734.0,1996.0
431000,-6.7331944,0.6928156,None,None
432000,-6.4745193,0.6836818,-1036.0,1996.0
433000,-4.827409,0.6893029,None,None
434000,-6.8602886,0.6881708,-870.0,1996.0
435000,-7.437703,0.69061184,None,None
436000,-8.204594,0.6469126,-1468.0,1996.0
437000,-6.0982294,0.69096845,None,None
438000,-8.428517,0.691749,-1500.0,1996.0
439000,-7.7959824,0.6921183,None,None
440000,-8.141764,0.67919356,-1904.0,1996.0
441000,-8.292121,0.6696279,None,None
442000,-7.892472,0.66370094,-1968.0,1996.0
443000,-7.4071712,0.6898718,None,None
444000,-7.986844,0.65413994,-1636.0,1996.0
445000,-7.94506,0.6699874,None,None
446000,-8.812317,0.6645583,-1768.0,1996.0
447000,-7.599079,0.68347883,None,None
448000,-8.428354,0.6760255,-1266.0,1996.0
449000,-6.7259073,0.69030917,None,None
450000,-8.278786,0.6678527,-1200.0,1996.0
451000,-6.423027,0.6891285,None,None
452000,-8.445166,0.67368937,-1768.0,1996.0
453000,-8.278484,0.6891673,None,None
454000,-7.345213,0.6821785,-1404.0,1996.0
455000,-6.5893154,0.6785546,None,None
456000,-8.616567,0.64572304,-1768.0,1996.0
457000,-6.8848042,0.6834807,None,None
458000,-8.888125,0.67336243,-1632.0,1996.0
459000,-8.837895,0.6821281,None,None
460000,-8.70088,0.651086,-1866.0,1996.0
461000,-7.976063,0.67765754,None,None
462000,-7.850357,0.6578022,-936.0,1996.0
463000,-3.7317677,0.664509,None,None
464000,-8.474146,0.6357183,-1768.0,1996.0
465000,-8.227001,0.68631744,None,None
466000,-8.756636,0.66619134,-1836.0,1996.0
467000,-8.191565,0.6829086,None,None
468000,-7.7997746,0.63169277,-1668.0,1996.0
469000,-8.4013,0.688641,None,None
470000,-7.8309274,0.68962824,-1572.0,1996.0
471000,-7.9785366,0.6895684,None,None
472000,-7.9755373,0.6861188,-1502.0,1996.0
473000,-8.216942,0.6647906,None,None
474000,-8.792524,0.62144166,-1836.0,1996.0
475000,-8.442732,0.6875509,None,None
476000,-8.649336,0.59608823,-1902.0,1996.0
477000,-7.8150387,0.6620914,None,None
478000,-8.664869,0.65445894,-1732.0,1996.0
479000,-8.435751,0.6793482,None,None
480000,-6.7455645,0.69189256,-1234.0,1996.0
481000,-8.432414,0.6760087,None,None
482000,-8.914096,0.5753832,-1868.0,1996.0
483000,-8.1651,0.6746041,None,None
484000,-8.986126,0.61457366,-1866.0,1996.0
485000,-8.836613,0.64899355,None,None
486000,-8.835882,0.6013066,-1936.0,1996.0
487000,-6.9934316,0.65951705,None,None
488000,-4.217901,0.65839046,-266.0,1996.0
489000,-7.0835743,0.68581736,None,None
490000,-7.722989,0.67718154,-1172.0,1996.0
491000,-8.703476,0.6819334,None,None
492000,-8.879395,0.5925904,-1772.0,1996.0
493000,-8.07254,0.6740212,None,None
494000,-9.122063,0.6088851,-1834.0,1996.0
495000,-8.436868,0.6828037,None,None
496000,-8.460812,0.6611796,-1802.0,1996.0
497000,-8.535978,0.6902074,None,None
498000,-9.073639,0.6502961,-1702.0,1996.0
499000,-5.800474,0.690975,None,None
500000,-8.91128,0.6196976,-1268.0,1996.0
501000,-7.602795,0.6897646,None,None
502000,-6.571748,0.6422946,-936.0,1996.0
503000,-7.525925,0.6490765,None,None
504000,-8.075939,0.6867903,-1134.0,1996.0
505000,-7.403962,0.6894862,None,None
506000,-8.228058,0.68505037,-1266.0,1996.0
507000,-6.8929796,0.6845346,None,None
508000,-8.839291,0.61202854,-1270.0,1996.0
509000,-7.5443316,0.6688902,None,None
510000,-8.201321,0.6749475,-1366.0,1996.0
511000,-5.7142024,0.6691269,None,None
512000,-7.97364,0.6686421,-1666.0,1996.0
513000,-8.323217,0.6700796,None,None
514000,-7.9426203,0.54809517,-1598.0,1996.0
515000,-8.147084,0.6826363,None,None
516000,-8.750503,0.6400827,-1834.0,1996.0
517000,-7.5956917,0.6778624,None,None
518000,-9.035282,0.679246,-1632.0,1996.0
519000,-7.4484305,0.6534733,None,None
520000,-8.552342,0.54900473,-1502.0,1996.0
521000,-8.221117,0.6504286,None,None
522000,-5.928338,0.67260855,-1468.0,1996.0
523000,-8.61314,0.67346793,None,None
524000,-8.26673,0.5899626,-1836.0,1996.0
525000,-8.891157,0.65657735,None,None
526000,-8.283587,0.67765856,-1766.0,1996.0
527000,-8.539926,0.65063,None,None
528000,-8.878688,0.48210713,-1900.0,1996.0
529000,-7.142188,0.67748666,None,None
530000,-9.050624,0.5596496,-1400.0,1996.0
531000,-8.29468,0.6704178,None,None
532000,-8.476436,0.57269865,-1832.0,1996.0
533000,-7.2952127,0.66861993,None,None
534000,-8.923469,0.62804,-1134.0,1996.0
535000,-7.735444,0.6637142,None,None
536000,-8.809911,0.5369553,-1802.0,1996.0
537000,-8.411264,0.6781857,None,None
538000,-6.388305,0.40542337,-1332.0,1996.0
539000,-4.5648317,0.39939967,None,None
540000,-7.2102156,0.39021727,-1334.0,1996.0
541000,-5.006827,0.57503104,None,None
542000,-8.699818,0.63326496,-1500.0,1996.0
543000,-8.534156,0.6546364,None,None
544000,-7.5614967,0.65278405,-1266.0,1996.0
545000,-6.4242597,0.62731165,None,None
546000,-8.777411,0.49262244,-1900.0,1996.0
547000,-8.115379,0.6483388,None,None
548000,-8.814877,0.44638005,-1934.0,1996.0
549000,-8.530333,0.6349221,None,None
550000,-9.07809,0.49604306,-1968.0,1996.0
551000,-6.0417295,0.5482131,None,None
552000,-7.8059883,0.5234811,-1266.0,1996.0
553000,-5.7733088,0.63470906,None,None
554000,-8.599337,0.6189948,-1300.0,1996.0
555000,-5.2664914,0.5663007,None,None
556000,-8.736729,0.48548046,-1402.0,1996.0
557000,-7.282144,0.6786975,None,None
558000,-8.664065,0.6324429,-1268.0,1996.0
559000,-6.8199134,0.6764517,None,None
560000,-8.746566,0.61824137,-1402.0,1996.0
561000,-3.4571826,0.5821421,None,None
562000,-8.67116,0.6527357,-1098.0,1996.0
563000,-7.308543,0.6538889,None,None
564000,-8.617404,0.5779763,-1668.0,1996.0
565000,-8.241738,0.6802904,None,None
566000,-8.493526,0.62605554,-1900.0,1996.0
567000,-8.206934,0.6787924,None,None
568000,-7.506276,0.67442095,-1568.0,1996.0
569000,-8.0522175,0.63783085,None,None
570000,-8.886394,0.52582663,-1868.0,1996.0
571000,-7.19354,0.67019683,None,None
572000,-9.194656,0.6714472,-1566.0,1996.0
573000,-5.98007,0.61813724,None,None
574000,-8.1682005,0.67199945,-836.0,1996.0
575000,-7.4268293,0.6165572,None,None
576000,-4.537538,0.6088811,-634.0,1996.0
577000,-8.083909,0.5660067,None,None
578000,-8.2134495,0.5203643,-1798.0,1996.0
579000,-8.259287,0.5931008,None,None
580000,-9.076878,0.39348653,-1968.0,1996.0
581000,-8.640011,0.56692785,None,None
582000,-8.955948,0.44368222,-1934.0,1996.0
583000,-7.6848435,0.6729197,None,None
584000,-8.976963,0.5345982,-1770.0,1996.0
585000,-8.28857,0.57453805,None,None
586000,-9.007467,0.5046418,-1868.0,1996.0
587000,-8.302941,0.67054534,None,None
588000,-8.613691,0.65587527,-1634.0,1996.0
589000,-7.7182655,0.5732162,None,None
590000,-9.034176,0.4956476,-1768.0,1996.0
591000,-6.267566,0.64171755,None,None
592000,-8.596238,0.58457065,-1100.0,1996.0
593000,-7.636801,0.61582613,None,None
594000,-9.196151,0.640687,-1566.0,1996.0
595000,-7.758312,0.6144964,None,None
596000,-7.6126986,0.6404515,-1434.0,1996.0
597000,-7.494143,0.6505919,None,None
598000,-8.770195,0.64098585,-1534.0,1996.0
599000,-8.590305,0.6453133,None,None
600000,-7.9803696,0.5744065,-1736.0,1996.0
601000,-8.837573,0.51288086,None,None
602000,-9.0591755,0.38749757,-1868.0,1996.0
603000,-6.957137,0.6501616,None,None
604000,-8.877911,0.54246384,-1900.0,1996.0
605000,-7.941529,0.47692764,None,None
